Date,Macro_Sentiment,Macro_News_Volume,Macro_Sentiment_3d
2021-02-03,0.18783333333333332,3,0.21767361111111114
2021-02-04,0.0903,4,0.1296652777777778
2021-02-05,0.08875,6,0.12229444444444448
2021-02-08,0.0,2,0.059683333333333366
2021-02-09,0.12765,4,0.07213333333333338
2021-02-10,0.26335,2,0.13033333333333338
2021-02-11,0.08499999999999999,2,0.1586666666666667
2021-02-12,-0.099275,4,0.08302500000000003
2021-02-16,0.12248,5,0.03606833333333337
2021-02-17,0.052766666666666656,3,0.025323888888888924
2021-02-18,-0.09686,5,0.026128888888888924
2021-02-19,0.0,1,-0.014697777777777745
2021-02-22,0.14895,4,0.01736333333333337
2021-02-23,0.0,2,0.049650000000000034
2021-02-24,0.296,1,0.14831666666666668
2021-02-25,-0.07454999999999995,2,0.07381666666666671
2021-02-26,0.038275,4,0.08657500000000007
2021-03-01,0.015212499999999997,8,-0.0070208333333332705
2021-03-02,0.1997,4,0.08439583333333338
2021-03-03,0.05242499999999999,8,0.08911250000000004
2021-03-04,0.13914999999999997,10,0.130425
2021-03-05,-0.030559999999999997,5,0.0536716666666667
2021-03-08,0.025099999999999997,4,0.04456333333333337
2021-03-09,0.13135714285714287,7,0.041965714285714335
2021-03-10,-0.16215,4,-0.0018976190476189907
2021-03-11,-0.11273333333333334,3,-0.047842063492063436
2021-03-12,0.12040000000000001,3,-0.05149444444444438
2021-03-15,0.0,3,0.0025555555555556025
2021-03-16,0.025633333333333327,9,0.04867777777777782
2021-03-17,0.0243,6,0.01664444444444449
2021-03-18,0.10809999999999999,6,0.05267777777777782
2021-03-19,-0.02189999999999999,4,0.03683333333333338
2021-03-22,-0.13221666666666668,6,-0.015338888888888846
2021-03-23,0.19190000000000002,8,0.0125944444444445
2021-03-24,0.039775,8,0.03315277777777783
2021-03-25,0.0,2,0.07722500000000006
2021-03-26,0.2843857142857143,7,0.10805357142857148
2021-03-29,0.33538,5,0.20658857142857148
2021-03-30,0.13553333333333334,9,0.25176634920634927
